我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
哦？	普露塞娜是这个村子唯一的上级治愈魔术师，所以她为了治疗受重伤的人四处奔波。最后还因为魔力不足而倒下……
没有先让她先吃点什么的选项吗？	因为这是规定。
当天让普露塞娜不用值班的选项呢？	由于前一天的魔物数量很多，大多数的战士都睡得很熟，人手实在不足。虽然我原本也想让普露塞娜也去休息，但她说：『我只是肚子饿的说』。
然后，那起事件就发生了，是吗？	是的，我现在依旧会觉得……要是当时至少有去找些食物给她的话就好了。
我早就觉得那家伙肯定会干这种事了喵。	唔嗯。
移动→村外→牢房	普露塞娜→询问→事件
普露塞，真的不是你做的吗？看着我的眼睛老实说。	是真的，老大。请你相信我的说……
我应该可以帮忙辩护，设法让你从这里出来。	不愧是老大的说！
不过，万一出来之后发现你是在说谎，我打算罚你在一年内都不能吃肉。	当当当……当然是真的的说。
不过，你能向神发誓嘛？	我……我发誓的说……！
讲清楚！	是……是我干的说……
裘耶斯先生，真是麻烦你了。	不……比起那个，选普露塞娜真的好吗？
你指的是什么？	就是要从我们村里带走一个人，负责照顾圣兽大人的那件事。
这样真的好吗？	不好。
这样啊，那么，果然还是从蜜妮托娜和提露塞娜中挑一个如何？	不，那两个人是族长候补吧？还是再找其他人比较……
嗨，普露塞娜，你看起来气色不错喵！	莉……莉妮亚！虽然刚才就有闻到气味了！你为什么会在这里的说！
怎……怎么会，老大……他明明说这样对不起菲兹和洛琪希，连看都不看我们一眼的说！	喵哈～只不过是普露塞娜的魅力不足吧喵～？毕竟我一个人的时候老大就展开行动了喵。哎呀～阿斯拉贵族的格雷拉特家血脉真的很激烈喵。像第一个夜晚，甚至连肋骨都差点被折断了喵。
莉……莉妮亚，你……你成为老大的妻子了的说？	讨厌啦，才不是妻子喵…………不过，算是奴隶吧喵。
裘耶斯先生，我也能拜托你吗？	咦？老大？
莉妮亚、普露塞娜，你们可要确实完成任务。知道了吗？	是的喵！
啊，普露塞娜，忘记跟你说了喵。	什么的说？我现在正沉浸在感伤的气氛的说，麻烦长话短说的说。
因为是我救了你，你暂时得当我的仆人喵。	咦？
秘密？那个茱丽？	正是如此。她似乎瞒着本王子在偷偷摸摸地做些什么。
偷偷摸摸是指？	她最近会一个人出门去市场。就算问她买了什么也不肯回答。而且，她不愿意让本王子看前阵子制作的人偶，似乎还趁本王子不注意的时候偷偷摸摸在做什么。然而就算问她在做什么，到最后也总是会岔开话题……
本王子应该怎么做？	放着不管就行了吧？
唔嗯──既然是奴隶，应该也能来硬的问个清楚才是……	你打算逼问她吗？
总之，既然她没做什么坏事，也没有引发什么严重问题，应该没有关系吧？	唔，对本王子而言，不肯让本王子观赏人偶已经是严重问题了……
话说，师傅，稍微换个话题。	喔。
您对箱子有兴趣吗？	箱子？
那是什么样的箱子？	是镶有美丽装饰的箱子。如此精美的箱子，就连本王子也很少看到。应该说……啊，接下来就请您亲眼拭目以待了！
那么我就去看一下吧 。	本王子就知道师傅肯定会这么说。
如何，师傅？	原来如此，这箱子的确不错。
札诺巴，这些名字是？	是人偶的名字。
哎～呀哎～呀！这不是札诺巴大人吗！	嗨嗨，本王子又来了，贝尔夫里特先生！
本王子今天来，是想把以前曾提过的师傅介绍给你认识。	喔喔，就是那个生出美丽女孩们的父亲吗！
我早就久仰大名了！据说您不只身为一流魔术师，甚至对这方面也有高深的造诣！	不会，和札诺巴相比，我只能算是才疏学浅。
不过话又说回来，这里的箱子实在精致，我第一眼看到的时候──	是『床』。
床啊，了解。确实是很适合被称为床的作品。	将来我们或许会有合作的机会，还请您千万注意要称呼。
贝尔夫里特先生，不管你是再怎么优秀的工匠，怎么可以对师傅用那种态度──	好啦好啦，札诺巴。没有关系，有自己的原则是很重要的。
本王子应该没有拜托来买东西才对……	然后，关于那个茱丽小姐，想不到，真是想不到啊！
茱丽她怎么了吗？	想不到，想不到……啊啊，用嘴巴实在无法说明！
请你先冷静点再说吧。茱丽她，来这里，做了什么？	人偶啊，她把人偶带过来了。
哎呀哎呀！札诺巴大人真是坏心，竟然对我炫耀那么高水准的作品。	唔～本王子也对此一无所知……
请问茱丽是为了什么目的才把人偶拿来这里？她有说什么吗？	这个嘛……我看到人偶的当下就过于兴奋，所以没有问清楚她的来意。只不过会把人偶带来这间店的人，几乎都是想要送自己的可爱女儿一张能睡得安稳的床。她应该也是这么打算的吧？
就是说啊。所以我以为她要卖给我，才会打算以两百枚拉诺亚金币买下……哎呀哎呀，可惜她却逃掉了。	两百枚拉诺亚金币……
钱无论再多也不会觉得困扰不是吗？	要看用途。目前茱丽过着很充裕的生活……我是这样听说的。
买下自己？	是。
就算真是那样，茱丽终究也是人。如果她真心想要摆脱奴隶身分的话，我想我们也不应该勉强阻止她。	唔……
为什么茱丽会一边哭一边乞求你的原谅？	这……这个嘛……这部分我也不是很清楚……
虽然不是很清楚，但只要能免费拿到你想要的人偶就满足了是吗？这剧本还安排得真好啊，喂。	呃，这样看起来的确……对我而言……那个，鲁迪乌斯大人？力气有点……那个，很痛啊……
就算你是札诺巴属意的工匠，也不代表你有理由从这样惹人怜爱的少女手中骗走人偶啊，喂。	所以说，我对这点也毫无……那个，札诺巴大人，请你也帮我说说话。
Master……	太出色了……
明明是如此地美丽，但是茱丽啊……！为什么！	咦？
你果然是为了摆脱奴隶身分，所以才会筹备资金吗？那么，为什么不先告诉本王子？如果是这具人偶，本王子出三百枚金币！……不，虽然无法马上备妥，但一定会准备给你！本王子会把钱备妥！绝对会！你不可能不知道这点吧！	呃，那个，Master，那个……
这出色的人偶，证明了你的忠心。本王子实在没想到你会习得如此超高的技术。	是！不过因为是偶然的产物，应该很难再做出同样水准的东西……
说这什么话。这人偶出色的部分，都是因为你钻研的技术而生。一切都如此仔细，一切都如此美丽。确实也有偶然产生的部分，但有一半都要归功于你的力量。	……谢谢Master。我今后也会继续努力！
嗯嗯。还有啊茱丽，本王子刚才的话没有任何虚假。要是你有任何愿望，直说无妨。本王子会尽可能地实现你的心愿。	呃……请让我再思考一阵子。
我知道札诺巴大人爱着人偶，但差不多到用餐的时间了。茱丽，你来帮忙准备。	啊，是！
是你昨天自己抱过来的，不记得了吗？	……有吗？
我去做晨间训练了。	这样啊。我今天休假，所以要再跟菈菈稍微睡一会儿。
好，晚安。	晚安。
哎呀～真了不起喵，居然能让那位狂剑王大人如此中意，真不愧是普露塞娜喵。请务必让我效法你喵。	嗯哼，对莉妮亚来说太勉强了的说。
艾莉丝，早安。	早安，鲁迪乌斯。
话说回来，你在做什么？	我在想小孩子的名字。果然还是该取勇猛的名字才好。
勇猛的名字啊……如果是男孩子的话用这种方式命名或许不错。	像亚尔斯啦，阿尔德巴朗啦，卡尔曼啦……
鲁迪乌斯有在想吗？	我在想女孩子的名字。像是亚丽丝啊，芙兰之类……我觉得取美丽的名字比较好。
如果生下来的是女孩子，取男生的名字也对她太可怜了吧。	绝对是男孩子啦！
那么，我去跑步了。	路上小心。
诺伦。	是，怎么了吗，哥哥？
呃，我还没有想过。	这样啊。
那个，哥哥。	什么事？
如果……我只是举个例子。	嗯？
我是不会反对，但是会担心……你想成为冒险者吗？	不，我没有那个打算。只是现在临时想到而已。
吃饱了。那我去学校了。	好，慢走。
我认为让诺伦做自己喜欢的事就好了喔。毕竟重要的是她知道自己想要做什么。	我反对。诺伦小姐是保罗老爷和塞妮丝夫人重要的女儿。应该要和地位相称的人结婚，过着安全的生活才是。
好啦，你们要加油啊。	Yes sir，老大！
今天也会大赚特赚的说！	可别做太超过的事情喔。
话说回来，莉妮亚和普露塞娜就这样定下来好吗？应该不会对历史产生什么变化吧？	以结果来说，只要其中一人当上族长，历史就不会有太大变化。
不过话又说回来，真没想到我女儿竟然会是救世主。奥尔斯帝德大人早就知道了吗？	不，一直以来都是由另外一个男人担任圣兽的伙伴。
顺便请教一下，请问原本的救世主先生会有什么样的作为？	那个男人打倒了复活之后的拉普拉斯。
原来如此……但现在那个人没当上救世主，这样没问题吗？	无妨。对我而言，拉普拉斯也是势必要杀死的对象。虽然以前曾受过圣兽和它的伙伴帮助……但并非必要的棋子。
菈菈也背负着和拉普拉斯战斗的命运吗？	不清楚。但毫无疑问的，她对人神来说肯定会是个巨大的阻碍。
